WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2022-04-10,169,4.35590744,158
2022-04-11,,,
2022-04-12,177,1.416342735,155
2022-04-13,,1.914323092,140
2022-04-14,161,1.314543843,0
2022-04-15,120,0.216175556,137
2022-04-15,223,1.117795587,183
2022-04-16,,2.769664288,
2022-04-17,137,0.361588329,
2022-04-17,171,1.329720378,
2022-04-17,,1.760056376,
2022-04-18,,0.633333333,
2022-04-19,,1.61458087,
2022-04-20,175,1.643007517,
2022-04-21,,,
2022-04-22,120,1.546781898,
2022-04-23,160,1.860792756,
2022-04-24,,0.243734717,
2022-04-24,,3.643282652,
2022-04-25,127,1.842568874,
2022-04-26,,,
2022-04-27,137,1.283230782,107
2022-04-28,166,2.590555556,129
2022-04-29,,1.025954127,
2022-04-30,165,1.671875,
2022-05-01,116,0.417425841,
2022-05-01,60,0.0774175,128
2022-05-01,196,2.144009352,167
2022-05-02,144,1.380059361,139
2022-05-03,167,2.221630573,
2022-05-04,148,3.96604228,
2022-05-05,,,
2022-05-05,138,1.554384232,
2022-05-06,144,0.869089723,
2022-05-07,104,0.400362521,
2022-05-07,148,1.41997087,
2022-05-08,132,0.410191953,
2022-05-08,241,0.950611889,
2022-05-08,34,0.149298891,
2022-05-10,150,1.528773546,142
2022-05-11,163,3.94038105,147
2022-05-12,,,
2022-05-13,109,1.3772434,
2022-05-14,157,1.465916872,
2022-05-15,134,4.108570099,
2022-05-16,91,1.433929443,
2022-05-17,141,1.118371964,
2022-05-17,,1,
2022-05-18,,2.447063446,
2022-05-19,118,1.743503571,
2022-05-20,140,1.600471377,135
2022-05-21,170,1.399330258,
2022-05-23,,1.833333333,
2022-05-24,,1.25,
2022-05-25,,1.613518119,164
2022-05-25,,1.25,
2022-05-26,,,
2022-05-27,,0.533739984,141
2022-05-28,,0.217177495,151
2022-05-28,,2.59688592,175
2022-05-29,,0.170384437,102
2022-05-29,,3.131784201,165
2022-05-29,,0.334932476,154
2022-05-30,,0.335430264,167
2022-05-30,,0.227778047,118
2022-05-30,,0.513163626,162
2022-05-31,,,
2022-06-01,,1.333333333,126
2022-06-02,154,1,0
2022-06-03,,1.349295259,
2022-06-04,,2.634450436,138
2022-06-04,,0.810199201,130
2022-06-05,,2.105777025,134
2022-06-06,,,
2022-06-07,,1.204132795,122
2022-06-08,,1.975621104,
2022-06-09,154,1.075047255,0
2022-06-10,,,
2022-06-11,,2.216581106,154
2022-06-12,,2.27567935,
2022-06-14,,1.681944444,
2022-06-15,,1.968135595,
2022-06-16,,1.535590529,
2022-06-17,,1.717538714,
2022-06-17,,0.515041649,
2022-06-18,,1.377334118,
2022-06-19,31,0.057533611,81
2022-06-19,192,1.138495564,115
2022-06-20,,1.763109922,139
2022-06-21,,,
2022-06-22,144,1.279174089,
2022-06-23,,1.266666667,
