WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2021-11-28,,10,
2021-12-05,,12,
2021-12-12,,8,
2021-12-14,,3,
2021-12-15,,2,
2021-12-16,,2,
2021-12-16,,0.5,
2021-12-18,,2,
2021-12-19,,2,
2021-12-19,,0.416666667,
2021-12-21,,2,
2021-12-22,,1.5,
2021-12-23,,2,
2021-12-25,,,
2021-12-27,,2,
2021-12-28,,2,
2021-12-29,,,
2021-12-30,,2,
2021-12-30,,,
2021-12-31,,,
2021-12-31,,2,
2022-01-01,,,
2022-01-02,,1.5,
2022-01-02,,,
2022-01-03,,2.5,
2022-01-03,,,
2022-01-04,,,
2022-01-04,,1.75,
2022-01-05,,,
2022-01-07,,2,
2022-01-07,,,
2022-01-08,,1.5,
2022-01-08,,,
2022-01-09,,1.5,
2022-01-09,,1.5,
2022-01-09,,,
2022-01-10,,,
2022-01-11,,3,
2022-01-11,,,
2022-01-12,,2,
2022-01-12,,0.5,
2022-01-12,,,
2022-01-13,,1.5,
2022-01-13,,,
2022-01-14,,,
2022-01-16,,2,
2022-01-18,,2,
2022-01-19,,2,
2022-01-22,,3.716666667,
2022-01-23,,2.8,
2022-01-24,,1,
2022-01-25,,3.416666667,
2022-01-26,,3.183333333,
2022-01-27,,4,
2022-01-28,,1.5,
2022-01-29,,3.7,
2022-01-30,,3,
2022-02-01,166,2.924134016,
2022-02-01,185,1.764138579,
2022-02-02,184,2.059727192,
2022-02-03,212,4.699956417,
2022-02-04,,,
2022-02-07,195,2.199201822,
2022-02-08,187,3.37637496,
2022-02-09,,3,
2022-02-11,247,3.750904322,
2022-02-15,185,4.223805428,
2022-02-16,199,3.741776228,
2022-02-18,193,4.029582024,
2022-02-19,201,3.317300797,
2022-02-20,230,5.482612133,
2022-02-22,177,3.502508163,
2022-02-24,232,4.963960648,
2022-03-07,,1.833333333,
2022-03-07,,1.166666667,
2022-03-08,,3.75,
2022-03-09,,2,
2022-03-11,,2,
2022-03-12,,3.333333333,
2022-03-14,,2,
2022-03-18,,2,
2022-03-20,,3,
2022-03-21,,3,
2022-03-22,,4,
2022-03-23,,4,
2022-03-24,,0.5,
2022-03-25,,3,
2022-03-30,,2,
2022-03-31,,3,
2022-04-01,,2,
2022-04-02,,3,
2022-04-04,192,4.084550858,
2022-04-05,221,3.790724993,
2022-04-06,206,1.005842209,
2022-04-07,85,2.269448042,
2022-04-09,242,3.095640182,
2022-04-11,177,3.355913162,
2022-04-12,,,
2022-04-13,,,
2022-04-14,,,
2022-04-15,273,2.82232666,
2022-04-16,,,
2022-04-18,245,2.972033262,
2022-04-20,,1.612472773,
2022-04-21,226,3.110857487,
2022-04-25,,,
2022-04-28,,3,
2022-04-29,,3.5,
2022-04-30,,1.5,
2022-05-01,142,0.386726111,
2022-05-01,270,2.661900043,
2022-05-03,208,3.545818567,
2022-05-04,,,
2022-05-05,249,3.040298223,
2022-05-06,144,2.511474609,
2022-05-06,,1.5,
2022-05-07,221,1.5,
2022-05-07,254,3.042870998,
2022-05-08,,,
2022-05-08,,,
2022-05-09,,,
2022-05-09,93,0.533029735,
2022-05-10,111,2.142125845,
2022-05-11,164,2.222872257,
2022-05-12,,2,
2022-05-13,151,1.420506954,
2022-05-15,,0.699068606,
2022-05-15,,1.666666667,
2022-05-17,0,1.142071962,
2022-05-17,338,0.885743618,
2022-05-18,,,
2022-05-18,184,2.086545467,
2022-05-20,,,
2022-05-21,236,3.540066004,
2022-05-23,225,1.910256028,
2022-05-23,,3.125094414,
2022-05-24,,1.877502203,
2022-05-25,227,1.279372334,
2022-05-25,,1.410535932,
2022-05-26,214,2.555765867,
2022-05-27,,0.5,
2022-05-28,214,0.392690003,
2022-05-28,233,2,
2022-05-29,280,1.656824946,
2022-06-01,243,1.420024157,
2022-06-01,166,1.615133047,
2022-06-02,83,0.969786644,
2022-06-03,,4,
2022-06-04,,3,
2022-06-07,208,3.630339622,
2022-06-08,,,
2022-06-09,190,0.482108593,
2022-06-10,282,1.067486644,
2022-06-10,,0.5,
2022-06-11,338,0.35312891,
2022-06-12,240,3.36058569,
2022-06-13,127,0.907386661,
2022-06-17,217,1.557739377,
2022-06-22,167,3.474797726,
2022-06-23,148,1.031517863,
2022-06-24,119,0.805775285,
2022-06-25,128,1.338091612,
2022-06-30,194,2.155228853,
2022-07-01,195,2.848699093,
2022-07-02,139,0.934289396,
2022-07-03,212,2.242972851,
2022-07-04,219,3.028635263,
2022-07-05,271,0.440769464,
2022-07-06,217,3.437005758,
2022-07-07,193,2.441765785,
2022-07-09,144,3.242132425,
2022-07-11,,2.042550564,
2022-07-11,214,2.016373873,
2022-07-12,205,2.727981329,
2022-07-14,185,2.936653137,
2022-07-15,183,1.628000855,
2022-07-15,211,2.278218269,
2022-07-16,234,3.703438044,
2022-07-16,136,0.360628605,
2022-07-17,147,0.882677734,
2022-07-18,195,3.274238348,
2022-07-19,237,3.935250044,
2022-07-19,63,0.077523887,
2022-07-21,163,3.33784008,
2022-07-22,,2.001666667,
2022-07-23,167,1.730668902,
2022-07-25,204,4.330491543,
2022-07-26,248,4.117481232,
2022-07-28,212,2.758251667,
2022-07-29,204,2.78745532,
2022-07-30,157,0.880146086,
2022-07-31,159,0.3811225,
2022-07-31,257,1.387301207,
2022-08-01,259,2.054226398,
2022-08-03,,2.645145416,
2022-08-04,,2,
2022-08-05,,2,
2022-08-06,,1,
2022-08-07,,1,
2022-10-24,235,1.956329703,
2022-11-04,,2.155277778,
2022-11-05,155,2.21351862,
2022-11-06,192,2.677031994,
2022-11-07,,,
2022-11-08,,,
2022-11-11,,,
2022-11-12,,1,
2022-11-13,200,2.412872076,
2022-11-14,217,2.827536583,
2022-11-14,,0.5,
2022-11-15,,0.5,
2022-11-16,32,2.002320766,
2022-11-17,222,2.59026432,
2022-11-18,217,2.002043247,
2022-11-19,,,
2022-11-20,,1,
2022-11-21,,,
2022-11-22,,3,
