WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2020-11-22,142,1.214722276,0
2020-11-22,,0.266666667,
2020-11-22,,0.281453878,152
2020-11-24,,1.016666667,
2020-11-25,136,1.533611059,0
2020-11-26,137,2.504166667,0
2020-11-27,,1,
2020-11-27,92,1.003611088,0
2020-11-28,,2.5,
2020-11-29,,0.695684493,164
2020-11-29,,0.816937804,93
2020-11-29,,0.826472223,111
2020-11-30,,1.033333333,
2020-11-30,,1.046672821,170
2020-12-01,,1,
2020-12-01,108,0.511412799,0
2020-12-01,213,0.872049153,0
2020-12-01,62,0.28426528,0
2020-12-01,,0.5,121
2020-12-02,106,3.005000114,0
2020-12-03,92,1.006049514,0
2020-12-03,,1.05,
2020-12-03,,1.062645793,167
2020-12-04,120,0.529673576,0
2020-12-04,,0.012828333,116
2020-12-05,,1.25,
2020-12-05,,1.040458322,123
2020-12-05,,0.455772787,118
2020-12-05,,0.167927504,115
2020-12-06,109,0.125277773,0
2020-12-06,112,0.908949435,0
2020-12-06,,1.392068505,123
2020-12-07,,1.032477736,170
2020-12-08,,0.46243611,160
2020-12-09,,0.871513605,166
2020-12-10,,1.343882203,131
2020-12-10,,1.120627522,187
2020-12-12,,1.399296045,129
2020-12-20,,0.660876393,113
2020-12-22,,1,
2020-12-22,130,1.255277753,0
2020-12-23,120,1.010242224,0
2020-12-24,123,1.956277251,0
2020-12-25,,0.733333333,
2020-12-25,132,1.056067467,0
2020-12-25,,0.716775835,87
2020-12-26,136,1.117102265,0
2020-12-26,,1,
2020-12-26,144,1.101388931,0
2020-12-27,127,2.912568331,0
2020-12-28,,1.656979442,105
2020-12-28,,1.462039709,107
2020-12-29,125,1.260555506,0
2020-12-30,116,0.412222236,0
2020-12-30,144,1.002500057,0
2020-12-30,,0.524524987,155
2020-12-31,,1.822758913,117
2021-01-01,132,2.570630074,0
2021-01-02,116,0.760173619,0
2021-01-04,,1.409163594,128
2021-01-05,,1.800212264,116
2021-01-05,,0.772448063,116
2021-01-06,,0.771426678,138
2021-01-08,,0.588634431,142
2021-01-08,,0.066179164,142
2021-01-09,,1.568783641,167
2021-01-11,114,1.106484771,0
2021-01-12,,0.757845283,156
2021-01-12,,0.201045007,157
2021-01-13,127,1.038262248,0
2021-01-14,125,1.025206089,0
2021-01-15,,0.750584722,166
2021-01-16,125,1.024429202,0
2021-01-18,111,1.219874978,0
2021-01-19,,1.688138604,113
2021-01-20,,0.666976094,172
2021-01-21,116,1.073333383,0
2021-01-21,,1.001032829,130
2021-01-22,109,0.860483348,0
2021-01-22,,0.660980046,132
2021-01-24,,1.648906708,189
2021-01-25,,1.468378305,123
2021-01-25,116,1.323984504,0
2021-01-25,,0.024525832,132
2021-01-26,,1.000597477,128
2021-01-27,,1.336646318,177
2021-01-28,,0.276290834,106
2021-01-28,,0.869851947,136
2021-01-29,,0.269329458,108
2021-01-29,,0.333561659,113
2021-01-29,,0.092582218,116
2021-01-30,,0.874991953,114
2021-01-31,,1.032163858,100
2021-01-31,,1.16274941,121
2021-02-01,,2.065246105,179
2021-02-03,,0.75561583,141
2021-02-05,115,1.083753824,0
2021-02-06,119,0.39249748,0
2021-02-06,,1.429993868,192
2021-02-07,120,1.053460598,0
2021-02-08,130,0.283055544,0
2021-02-08,115,0.722857177,0
2021-02-08,,0.950725317,140
2021-02-09,,0.691729486,100
2021-02-11,,1.133352757,142
2021-02-14,,4.325636387,120
2021-02-15,,3.846510172,129
2021-02-18,,0.912925303,178
2021-02-19,,0.324362785,121
2021-02-19,,1.07630527,121
2021-02-21,,1.507259369,113
2021-02-21,,0.940886974,122
2021-02-23,,1.096217275,167
2021-02-25,123,1.215706944,0
2021-02-25,,0.373115838,115
2021-02-26,,1.348556995,125
2021-02-28,,2.034398317,139
2021-03-01,,1.168148279,192
2021-03-02,,1.246074438,175
2021-03-04,91,0.45010972,0
2021-03-04,,0.84497416,156
2021-03-05,,2.079368591,146
2021-03-07,,0.422526956,102
2021-03-09,,0.861640036,138
2021-03-09,,0.665913105,71
2021-03-10,,1.4724859,109
2021-03-10,,0.932770848,134
2021-03-11,,1.001160502,74
2021-03-12,,0.440071106,148
2021-03-12,,0.723622262,154
2021-03-13,109,0.601111114,0
2021-03-16,,1.21689117,176
2021-03-17,,1.546551943,
2021-03-20,102,1.901666641,0
2021-03-20,,1.591312766,
2021-03-21,,0.986679435,
2021-03-23,147,1.014191031,0
2021-03-24,119,1.38023591,0
2021-03-25,138,1.039006472,0
2021-03-27,105,0.779041708,0
2021-03-28,138,0.755185008,0
2021-03-30,,1.778985858,
2021-03-30,,0.447978884,173
2021-04-02,,1.583861351,
2021-04-03,,2.336503029,
2021-04-04,,3.12323904,
2021-04-05,,1.885923147,
2021-04-06,,1.325026751,
2021-04-08,,3.068353891,
2021-04-09,,1.173061371,
2021-04-10,,2.55797863,
2021-04-12,,2.436577797,
2021-04-13,,1.803131938,
2021-04-15,,1.283809423,153
2021-04-16,,3.214249134,
2021-04-17,,2.941921711,
2021-04-18,,2.705426455,
2021-04-19,,1.363379955,
2021-04-20,,1,
2021-04-21,,1.018697023,
2021-04-22,,1.003984213,
2021-04-23,,1.305200577,
2021-04-25,,1.881499648,
2021-04-26,,0.5,
2021-04-26,,1.334347248,
2021-04-27,,1,
2021-04-27,,3.961869955,
2021-04-27,,0.5,
2021-04-28,,1.000878334,
2021-04-28,,1.083938599,171
2021-04-29,,1.361110806,
2021-04-30,,1.039321303,159
2021-05-01,,1.883493662,
2021-05-01,,0.422923893,151
2021-05-01,,1.325483441,
2021-05-02,,3.607290268,
2021-05-04,,2.85152936,
2021-05-04,,0.956062496,149
2021-05-05,,1.945879698,
2021-05-06,,3.260392189,
2021-05-07,,0.979382217,
2021-05-07,,2.551230907,
2021-05-09,,3.592638731,
